country,powertrain,year,number_of_vehicles
Australia,BEV,2011,49
Australia,BEV,2012,170
Australia,PHEV,2012,80
Australia,PHEV,2013,100
Australia,BEV,2013,190
Australia,BEV,2014,370
Australia,PHEV,2014,950
Australia,PHEV,2015,1000
Australia,BEV,2015,760
Australia,BEV,2016,670
Australia,PHEV,2016,700
Australia,PHEV,2017,1100
Australia,BEV,2017,1200
Australia,BEV,2018,1800
Australia,PHEV,2018,1800
Australia,PHEV,2019,2900
Australia,BEV,2019,6300
Australia,BEV,2020,5200
Australia,PHEV,2020,1700
Australia,PHEV,2021,3400
Australia,BEV,2021,17000
Australia,BEV,2022,33000
Australia,PHEV,2022,5900
Austria,BEV,2013,650
Austria,BEV,2014,1700
Austria,PHEV,2015,1100
Austria,BEV,2015,1700
Austria,BEV,2016,3800
Austria,PHEV,2016,1200
